"Now Shopping by","Ora acquista per"
"Please enter a value greater than or equal to {0}.","Si prega di inserire un valore maggiore o uguale a {0}."
"Please enter valid email addresses, separated by commas. For example, johndoe@domain.com, johnsmith@domain.com.","Inserire indirizzi email validi, separati da virgole. Ad esempio, johndoe@domain.com, johnsmith@domain.com."
"Please enter issue number or start date for switch/solo card type.","Inserisci il numero di emissione o data di inizio per tipo di carta switch/solo."
"This is a required field.","Questo è un campo obbligatorio."
"Please enter positive number in this field.","Inserisci un numero positivo in questo campo."
"Please enter a valid value, ex: 10,20,30","Inserisci un valore valido, es: 10,20,30"
"We don't recognize or support this file extension type.","Non è possibile riconoscere o supportare questo tipo di estensione file."
"File you are trying to upload exceeds maximum file size limit.","Stai tentando di caricare un file che supera il limite di dimensione massima dei file."
"Please use tag SCRIPT with SRC attribute or with proper content to include JavaScript to the document.","Si prega di utilizzare il tag SCRIPT con l'attributo SRC o con contenuto appropriato per includere JavaScript al documento."
"The date is not within the specified range.","La data non è compresa nell'intervallo specificato."
Attention,Attenzione
Close,Chiudi
"Label Button 2","Etichetta Pulsante 2"
"Log JS Errors to Session Storage","Log errori JS nello Storage Session"
"Log JS Errors to Session Storage Key","Log Errori JS nella Session Storage Key"
"Initialization error component, check the spelling of the name or the correctness of the call.","Errore inizializzazione componente, verifica l'ortografia del nome o della correttezza della chiamata."
"Select Items","Seleziona elementi"
Submit,Invia
Columns,Colonne
Reset,Reimposta
Apply,Applica
Export,Esporta
"We couldn't find any records.","Non abbiamo trovato alcun record."
Custom,Personalizzato
"per page","per pagina"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Inserisci 6 o più caratteri. Gli spazi iniziali o finali verranno ignorati."
"The fewest you may purchase is %1.","Il minor numero acquistabile è %1."
"You can buy this product only in quantities of %1 at a time.","È possibile acquistare questo prodotto solo in quantità di %1 per volta."
"If enabled, can be used by functional tests for extended reporting","Se attivata, può essere utilizzata da test funzionali per la segnalazione estesa"
"Use this key to retrieve collected js errors","Utilizzare questo tasto per recuperare gli errori js"
"Please enter a value less than or equal to %s.","Inserisci un valore minore o uguale a %s."
"Please enter a value greater than or equal to %s.","Inserisci un valore maggiore o uguale a %s."
"An item needs to be selected. Select and try again.","Un elemento deve essere selezionato. Seleziona e riprova."
"Attribute Properties","Proprietà dell'attributo"
"Default Label","Etichetta predefinita"
"Default label","Etichetta predefinita"
"Attribute Code","Codice Attributo"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Utilizzato internamente. Assicurarsi di non utilizzare spazi o più di %1 simboli."
"Catalog Input Type for Store Owner","Tipo di Input del catalogo per il proprietario del negozio"
"Values Required","Valori obbligatori"
"Default Value","Valore predefinito"
"Unique Value","Valore unico"
"Unique Value (not shared with other products)","Valore univoco (non condiviso con altri prodotti)"
"Not shared with other products.","Non condiviso con altri prodotti."
"Input Validation for Store Owner","Convalida dell'input per proprietario del negozio"
Required,Obbligatorio
System,Sistema
"Decimal Number","Numero decimale"
"Integer Number","Numero intero"
Letters,Lettere
"Letters (a-z, A-Z) or Numbers (0-9)","Lettere (a-z, A-Z) o numeri (0-9)"
"Text Field","Campo di testo"
"Text Area","Area di testo"
Yes/No,Sì/No
"Multiple Select","Selezione multipla"
Dropdown,"Menu a tendina"
"Input type ""%value%"" not found in the input types list.","Tipo di input ""%value%"" non trovato nell'elenco tipi di input."
"Attribute object is undefined","L'oggetto attributo non è definito"
"Entity object is undefined","Entity object non definito"
"""%1"" invalid type entered.","E' stato inserito un tipo non valido ""%1"" "
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" contiene caratteri non alfabetici o non numerici."
"""%1"" is an empty string.","""%1"" è una stringa vuota."
"""%1"" contains non-numeric characters.","""%1"" contiene caratteri non numerici."
"""%1"" contains non-alphabetic characters.","""%1"" contiene caratteri non alfabetici."
"""%1"" is not a valid email address.","""%1"" non è un indirizzo email valido."
"""%1"" is not a valid hostname.","""%1"" non è un hostname valido."
"""%1"" uses too many characters.","""%1"" utilizza troppi caratteri."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' si presenta come un indirizzo IP, il che non è un formato accettabile."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' sembra un hostname DNS, ma contiene un trattino in una posizione non valida."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' sembra un hostname DNS, ma non è possibile abbinarlo rispetto allo schema di hostname per TLD '%tld%'."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' sembra un hostname DNS ma non è possibile estrarre la parte TLD."
"'%value%' does not look like a valid local network name.","'%value%' non sembra un nome di rete locale valido."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' si presenta come un nome di rete locale, che non è un formato accettabile."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' sembra essere un hostname DNS, ma la notazione punycode specificato non può essere decodificata."
"""%1"" is not a valid URL.","""%1"" non è un URL valido."
"""%1"" is not a valid date.","""%1"" non è una data valida."
"""%1"" does not fit the entered date format.","""%1"" non si adatta il formato data immessa."
"""%1"" is a required value.","""%1"" è un valore obbligatorio."
"Please enter a valid date between %1 and %2 at %3.","Inserisci una data valida tra %1 e %2 a %3."
"Please enter a valid date equal to or greater than %1 at %2.","Inserisci una data valida uguale o maggiore di %1 a %2."
"Please enter a valid date less than or equal to %1 at %2.","Inserisci una data valida minore o uguale a %1 a %2."
"""%1"" is not a valid file extension.","""%1"" non è un'estensione file valida."
"""%1"" is not a valid file.","""%1"" non è un file valido."
"""%1"" exceeds the allowed file size.","""%1"" supera la dimensione consentita per i file."
"""%1"" is not a valid image format","""%1"" non è un formato di immagine valido"
"""%1"" width exceeds allowed value of %2 px.","La larghezza ""%1"" supera il valore consentito di %2 px."
"""%1"" height exceeds allowed value of %2 px.","L'altezza ""%1"" supera il valore consentito di %2 px."
"""%1"" cannot contain more than %2 lines.","""%1"" non può contenere più di %2 righe."
"""%1"" length must be equal or greater than %2 characters.","La lunghezza ""%1"" deve essere uguale o maggiore di %2 caratteri."
"""%1"" length must be equal or less than %2 characters.","La lunghezza ""%1"" deve essere uguale o minore di %2 caratteri."
"Attribute group does not belong to provided attribute set","Gruppo di attributi non appartiene al set di attributi fornito"
"Cannot save attributeGroup","Non è possibile salvare attributeGroup"
"Group with id ""%1"" does not exist.","Il gruppo con id ""%1"" non esiste."
"Cannot delete attributeGroup with id %1","Non è possibile eliminare attributeGroup con id %1"
"AttributeSet with id ""%1"" does not exist.","Il set Attributo con id ""%1"" non esiste."
"Wrong attribute set id provided","Id set attributo fornito non valido"
"Attribute group does not belong to attribute set","Il gruppo di attributi non appartiene all'insieme di attributi"
"Attribute set not found: %1","L'attributo impostato non è stato trovato: %1"
"Attribute ""%1"" not found in attribute set %2.","L'attributo ""%1"" non è stato trovato nel set attributi %2."
"System attribute can not be deleted","L'attributo di sistema non può essere eliminato"
"Cannot save attribute","Non è possibile salvare l'attributo"
"Attribute with attributeCode ""%1"" does not exist.","L'attributo con attributeCode ""%1"" non esiste."
"Cannot delete attribute.","Non è possibile eliminare l'attributo."
"Attribute with id ""%1"" does not exist.","L'attributo con id ""%1"" non esiste."
"There was an error saving attribute set.","C'è un errore nel salvataggio del set di attributi."
"Default attribute set can not be deleted","Il set di attributi predefinito non può essere eliminato"
"There was an error deleting attribute set.","Si è verificato un errore durante l'eliminazione del set di attributi."
"Invalid entity_type specified: %1","Entity_type non è valido: %1"
"Entity is not initialized","Entity non inizializzata"
"Unknown parameter","Parametro sconosciuto"
"Unique constraint violation found","Violazione chiave unica trovata"
"The attribute code '%1' is reserved by system. Please try another attribute code","Il codice di attributo '%1' è riservato al sistema. Prova con un altro codice di attributo"
"An attribute code must not be more than %1 characters.","Un codice attributo non deve avere più di %1 caratteri."
"Invalid default decimal value","Valore decimale predefinito non valido"
"Invalid default date","Data predefinita non valida"
"Invalid entity supplied","Entity fornita non valida"
"Invalid backend model specified: %1","Modello di back-end non valido: %1"
"Source model ""%1"" not found for attribute ""%2""","Modello sorgente ""%1"" non trovato per l'attributo ""%2"""
"The value of attribute ""%1"" must be set","Il valore dell'attributo ""%1"" deve essere impostato"
"The value of attribute ""%1"" must be unique","Il valore dell'attributo ""%1"" deve essere univoco"
"Invalid date","Data non valida"
"Empty attribute code","Codice attributo vuoto"
"Attribute %1 doesn't work with options","L'attributo %1 non funziona con le opzioni"
"Cannot save attribute %1","Non è possibile salvare l'attributo %1"
"Attribute %1 doesn't have any option","L'attributo %1 non ha alcuna opzione"
"Cannot load options for attribute %1","Impossibile caricare opzioni per attributo %1"
"Attribute %1 does not contain option with Id %2","L'attributo %1 non contiene opzioni con Id %2"
"Entity attribute with id ""%1"" not found","Entità dell'attributo con id ""%1"" non trovato"
"Attribute set name is empty.","Il nome del set di attributo è vuoto."
"An attribute set named ""%1"" already exists.","Esiste già un set di attributi denominato ""%1""."
"No options found.","Nessun'opzione trovata."
"Invalid entity supplied: %1","Fornita entità non valida: %1"
"Attempt to add an invalid object","Tentativo di aggiungere un oggetto non valido"
"Invalid attribute identifier for filter (%1)","Identificatore attributo non valido per il filtro (%1)"
"Invalid attribute requested: %1","Attributo richiesto non valido: %1"
"Joint field or attribute expression with this alias is already declared","Il campo congiunto o l'espressione attributo con questo alias è già stato dichiarato"
